"","1_L25_C01_IL4625","1_L25_C04_IL4625","1_L25_C06_IL4625","1_L25_C08_IL4625","1_L25_C10_IL4625","1_L25_C17_IL4625","1_L25_C19_IL4625","1_L25_C20_IL4625","1_L25_C23_IL4625","1_L25_C26_IL4625","1_L25_C31_IL4625","1_L25_C34_IL4625","1_L25_C36_IL4625","1_L25_C39_IL4625","1_L25_C42_IL4625","1_L25_C45_IL4625","1_L25_C47_IL4625","1_L25_C50_IL4625","1_L25_C51_IL4625","1_L25_C54_IL4625","1_L25_C56_IL4625","1_L25_C62_IL4625","1_L25_C64_IL4625","1_L25_C67_IL4625","1_L25_C68_IL4625","1_L25_C69_IL4625","1_L25_C70_IL4625","1_L25_C72_IL4625","1_L25_C73_IL4625","1_L25_C76_IL4625","1_L25_C78_IL4625","1_L25_C79_IL4625","1_L25_C80_IL4625","1_L25_C82_IL4625","1_L25_C83_IL4625","1_L25_C85_IL4625","1_L25_C88_IL4625","1_L25_C89_IL4625","1_L25_C93_IL4625","1_L25_C94_IL4625","1_L25_C95_IL4625","1_L25_C96_IL4625"
"Tmc3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmc4",0,0,0,0,0,0.104416,0,0.103248,0,0,0,0,0,1.53066,0,0,0,0,0,0.118867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmc5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmc6",0,0,8.25708,0,0,0,0,11.6519,0,0,0,0,0,0,0,3.2738,0.246312,0,0,23.9399,0,0,0,0,67.5474,0,0,0,0,0,0.379172,0,50.0975,0,133.317,0,0,0,0,0,0,0
"Tmc7",0,0,0,0.134907,0,0,0,0,0,0,0,0,0,0,0,50.4012,0,123.795,0,0,0,0.0732845,0,0.069452,0,0,0,2.53965,0,0,0,0,0,0,0.0554988,0,0.205986,0.558159,0.639986,0,0,0
"Tmc8",5.97821,0,0,0,0,0,0,0,0,0,0,0,0,0.28325,0,0,0,0,0,0.410338,0,0,0,0,0,0,0,0,0.479193,0,0,0,0,0,0.0956867,0,0,0,0,0,0,0
"Tmcc1",0,0.0434971,0.182446,0.0524745,0.0529713,0,0,0.0401541,0.0956711,6.00943,0,0.0478317,6.63093,0.0426506,3.64027,0.0892792,0.0606037,0.0440839,39.7223,0.0462304,43.478,0,0,0,0,6.67214,32.8174,1.61626,0,0.0489431,0.0467182,0,8.01673,0,0,0.065007,4.70083,9.42201,0,0,0,0.0508629
"Tmcc2",0,0,3.91972,0,0.0909703,0,0,2.76128,0,0,7.32481,60.3897,0,0,0,0.460835,0,0,0,20.1075,0.108275,0,0,0,0,0,18.8246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmcc3",0,0,0,0.441198,0,0,0,0,0,0,0.0552568,0,0,0,0.0509988,3.80054,0,0,0,0,0,0,0,0,0,0,0,22.4614,0,0,0,0,0,0,18.0642,0,0,0,0,0.0444049,0,0
"Tmco1",0,0,102.056,0.0677534,0,0,127.641,0.311095,0,0,7.13075,93.4158,0,0.660498,0.438756,37.9115,0,1.08176,48.3458,2.08931,125.316,0.14722,0,97.3856,0.0666357,10.9672,0,3.76844,4.52214,0.0631531,0,0,1.88648,0.0649456,13.5461,0,0,0,0.0714247,52.3173,0,0
"Tmco2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmco3",0,0,0,0,0,0,0,2.86402,0,0,29.8203,0,0,0,68.0392,18.7968,0,0,0,0.058882,0,0,0.0651796,0,0,0.061996,0,0,0,0,0,0,14.1752,0,0.0549874,0,0,0,0,0,0,0
"Tmco4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmco5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmco5b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmco6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3955,0,0.16558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tmco7",0,0,0,0,61.3705,0,0,0,0,0.139371,0,4.7334,0,0,0,0,0,0,0,0,0.991232,0,6.10561,0,0,0,0.088135,0,0,0,0,0,0,0.527556,2.66041,0,0,0,0,0,0,0
