,Adult_1_L28_C01_IL4898,Adult_1_L28_C02_IL4898,Adult_1_L28_C08_IL4898,Adult_1_L28_C10_IL4898,Adult_1_L28_C14_IL4898,Adult_1_L28_C15_IL4898,Adult_1_L28_C16_IL4898,Adult_1_L28_C17_IL4898,Adult_1_L28_C18_IL4898,Adult_1_L28_C19_IL4898,Adult_1_L28_C26_IL4898,Adult_1_L28_C31_IL4898,Adult_1_L28_C38_IL4898,Adult_1_L28_C39_IL4898,Adult_1_L28_C40_IL4898,Adult_1_L28_C45_IL4898,Adult_1_L28_C53_IL4898,Adult_1_L28_C56_IL4898,Adult_1_L28_C57_IL4898,Adult_1_L28_C58_IL4898,Adult_1_L28_C59_IL4898,Adult_1_L28_C60_IL4898,Adult_1_L28_C61_IL4898,Adult_1_L28_C62_IL4898,Adult_1_L28_C63_IL4898,Adult_1_L28_C64_IL4898,Adult_1_L28_C66_IL4898,Adult_1_L28_C68_IL4898,Adult_1_L28_C69_IL4898,Adult_1_L28_C72_IL4898,Adult_1_L28_C73_IL4898,Adult_1_L28_C74_IL4898,Adult_1_L28_C80_IL4898,Adult_1_L28_C81_IL4898,Adult_1_L28_C82_IL4898,Adult_1_L28_C87_IL4898,Adult_1_L28_C88_IL4898,Adult_1_L28_C95_IL4898,Adult_1D_L28_C33_IL4898,Adult_1p_L28_C21_IL4898,Adult_1p_L28_C51_IL4898,Adult_1pp_L28_C25_IL4898,Adult_1pp_L28_C34_IL4898,Adult_1pp_L28_C65_IL4898,Adult_1pp_L28_C67_IL4898,Adult_1pp_L28_C75_IL4898,Adult_1pp_L28_C79_IL4898
Zfp326,0,0,1.503277489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.800191706,0,0,6.052255025,0,0,0,2.909654074,0,0,0,0,0,2.418913139,0,0,0,0,2.556139989,0,0,1.854199167,0,0,2.565229144,4.991535451,0,0,0
Zfp329,0,0,2.351150555,0,2.130532262,0,0,0,0,0,0,0,0,4.901277224,1.496585062,0,0,0,0,2.52060831,2.57980769,0,0,0,0,0,0.368768349,0.781418469,4.503908402,0,4.702762805,0,2.624138336,0,0,0,1.651825515,0,0,0,1.736037643,0,0,0,0,0,0
Zfp330,0,0,0,0,0,3.279153303,0,0,0,4.499029457,0,0,0.322216605,0,6.407871063,0,3.841600827,0,0,0,4.819479149,3.306056584,0,0,0,0,0,0,0,3.31541407,0,0,6.669862991,0,0.389280447,0,4.345162153,0,2.634544481,3.801210402,2.884072321,6.72342204,0,0,0,0,0
Zfp334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.054362288,0,0,0,0,0,0,0,0,0,0,0,0
Zfp341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22810871,0,0,0,0,0,0,0,0,1.978180983,0,0,0,0,0,0
Zfp346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.558510104,0,0,0,0,0
Zfp35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823814565,0,0,0,5.529761614,0,0.433824765,0,0,0,0,0,0,0,0,0,0,0,0.641379555,2.305874241,0,0,0,0,0,0,0,0,0,0,0,0,1.919584166,0
Zfp354a,0,0,0,0,0,0,0,0.82452348,0,4.599359455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp354b,0,0,0,0,0,0,0,0,0,1.063565067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp354c,0,0,1.191404729,6.545864919,2.578851787,0,0,0,4.931181903,0,0,0,0,1.950296699,0,4.636514421,0,1.215417677,0,0,2.99033228,0,0,6.193144863,0,0,0,0,0,0,0,3.391987626,0,2.178211084,0,0,0,1.811261393,4.77667253,0,0,0,0,0,0,0,0
Zfp358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.330280518,0,0,0,0,0,0,0,0,0,0,3.438439243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp36,6.690822133,5.798675271,6.519773047,7.600113616,6.108752343,6.524353653,0.371614618,6.912925254,6.608121729,0,8.39323599,7.254140484,3.424465297,6.771463058,7.822411496,3.016111169,0,7.242840649,6.505379673,1.524249268,7.012915004,6.80704574,6.588174929,6.976638583,5.190421276,2.791605725,7.274410769,1.9804787,6.121606039,3.530258061,5.068309662,6.72374967,0,8.026733676,7.139101079,7.211391903,5.246940068,8.520084323,7.919882302,6.842551489,6.917049787,0,6.57826399,5.182529429,6.305394203,0,8.60013964
Zfp362,0,0,0,0,1.301142771,0,0,0,4.231209658,0,0,0,0,0,0,0,0,0,0,5.742483256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.048117584,0,0,0,0,0
Zfp365,0,0,0,0,0,0,0,0,0,0,0,0,3.797988284,0,0,0,0,1.724602254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp367,0,0,0,0,0,0,0,0,0,0,0,3.205622412,0,0,5.669641935,0,0,4.564231818,0,0,0,0,0,0,0,0,0,4.39007607,4.38761069,0,0,4.645891838,5.207943595,0,0,0,0,0,0,3.393237706,0,0,0,0,0,6.236044816,0
Zfp369,0,0,0,3.650339499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp36l1,3.650511836,4.719736532,2.653043962,6.519210064,6.48298861,6.946145992,1.531024564,7.574018227,4.498825278,5.772455785,6.130070101,5.455642852,2.81999306,5.22900719,5.154477897,6.413280964,0,6.273685587,4.456254193,3.756927206,6.073059705,6.598953205,3.787118983,6.478214677,3.359225967,2.562083643,4.797116765,6.871276905,7.542505701,0,4.398658196,5.211136827,7.530203429,7.185658449,6.480510721,6.703529877,6.689159358,7.702872214,1.424035243,4.001198742,5.49524425,6.514097005,2.868520838,0,4.066278666,5.242659664,6.667977254
Zfp36l2,4.114042132,4.750134819,1.004364757,6.811059948,0,7.643048054,6.041930692,4.375699791,5.062065571,0,7.262677445,5.727446737,6.658382882,3.922140749,6.576240948,5.54580161,0,0,3.90437812,7.677599852,2.881960175,3.310344484,0,6.477792259,4.096818445,7.277891787,0,5.679085944,5.286980921,5.392605933,6.28544106,1.878529177,2.251522176,0,4.401336929,6.91988826,7.88542794,2.594999918,0,2.596756285,6.595892985,7.005444903,0,3.177176327,4.644854189,3.642551404,0
Zfp37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.443714385,0,0,0,0,0.959399235,0,0,1.893311725,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp382,0,0,0,0,0,0,0,0,0,0,0,0,3.548572256,0,0,0,0,0,0,0,0,0,0,0,0,4.952235706,0,0,0,0,2.782936897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp383,0,0,0,0,1.450928811,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549373456,0,0,0,0,0,0,0,0,0,0,6.025989976,0,0.023312136,1.420072725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
